hero_x,hero_y,cnt
WARLOCK III,FIREFIST/RUSTY COLLI,15
PERSUASION/KARA KILL,DIAMOND LIL/LILLIAN ,15
"FURY, COL. NICHOLAS ",IRON MAN IV/JAMES R.,15
THING/BENJAMIN J. GR,"LUMPKIN, WILLIAM WIL",15
CAPTAIN BRITAIN/BRIA,PROFESSOR X/CHARLES ,15
ANT-MAN/DR. HENRY J.,BEETLE/ABNER RONALD ,15
COLOSSUS II/PETER RA,DAREDEVIL/MATT MURDO,15
IRON MAN/TONY STARK ,DARKSTAR/LAYNIA SERG,15
SIRYN/THERESA ROURKE,BEAST/HENRY &HANK& P,15
FIRESTAR/ANGELICA JO,BLACK KNIGHT V/DANE ,15
"MERCADO, JOY","OSBORN, HARRY",15
GLADIATOR II,ORACLE/LADY SIBYL,15
THUNDERSTRIKE/ERIC K,PSYLOCKE/ELISABETH B,15
"GRANT, SILAS",FANDRAL [ASGARDIAN],15
"GRANT, SILAS",HOGUN [ASGARDIAN],15
"PEARSON, MARCY","ARBOGAST, BAMBI",15
THUNDERSTRIKE/ERIC K,SIF,15
SILVER SURFER/NORRIN,COLLECTOR/TANELEER T,15
VECTOR,VAPOR,15
MIRAGE II/DANIELLE M,FIREFIST/RUSTY COLLI,15
"ROBERTSON, RANDY","THOMPSON, EUGENE FLA",15
ODIN [ASGARDIAN],"GRANT, SILAS",15
IRON MAN/TONY STARK ,TITANIUM MAN/BORIS B,15
MENTOR/ALARS [ETERNA,"JONES, RICHARD MILHO",15
DR. STRANGE/STEPHEN ,"JARVIS, EDWIN ",15
IRON MAN IV/JAMES R.,PROFESSOR X/CHARLES ,15
BEAST/HENRY &HANK& P,MAD DOG/COLONEL BUZZ,15
BLACK WIDOW/NATASHA ,DEATHCRY [SHI'AR],15
"JONES, RICHARD MILHO",BEREET,15
NOVA/RICHARD RIDER,DRAX/ARTHUR DOUGLAS,15
FIN FANG FOOM/MIDGAR,IRON MAN/TONY STARK ,15
WINDSHEAR/COLIN ASHW,WITCHFIRE,15
"MARTINELLI, VINCENT ",IRON MAN IV/JAMES R.,15
IRON MAN V/TEEN TONY,CAPTAIN AMERICA,15
"GRANT, SILAS",SIF,15
ICEMAN/ROBERT BOBBY ,BLACK KNIGHT V/DANE ,15
BEAST/HENRY &HANK& P,"JAMESON, J. JONAH",15
BLACK BOLT/BLACKANTO,BLACK PANTHER/T'CHAL,15
WHITE QUEEN/EMMA FRO,CYPHER/DOUG RAMSEY,15
"GYRICH, HENRY PETER","JONES, RICHARD MILHO",15
CAPTAIN MARVEL II/MO,MOONDRAGON/HEATHER D,15
SIF,HIGH EVOLUTIONARY/HE,15
"CORBEAU, DR. PETER",STORM/ORORO MUNROE S,15
BLACK KNIGHT V/DANE ,BINARY/CAROL DANVERS,15
MAGUS,�GAMORA,15
JUSTICE II/VANCE AST,DARKHAWK/CHRIS POWEL,15
WASP/JANET VAN DYNE ,SILVER SURFER/NORRIN,15
SILVER SURFER/NORRIN,STARFOX/EROS,15
"COLLINS, DEMITRIUS","FAIRMONT, HANNAH",15
JUSTICE II/VANCE AST,INVISIBLE WOMAN/SUE ,15
BINARY/CAROL DANVERS,HERCULES [GREEK GOD],15
BLACK KNIGHT V/DANE ,RAVONNA LEXUS RENSLA,15
DIAMOND LIL/LILLIAN ,WITCHFIRE,15
"STACY, ARTHUR","JAMESON, J. JONAH",15
DIABLO/ESTEBAN DE AB,THING/BENJAMIN J. GR,15
TIMESLIP/RINA PATEL,JUSTICE II/VANCE AST,15
DR. STRANGE/STEPHEN ,STARFOX/EROS,15
MOLTEN MAN/MARK RAXT,"OSBORN, LIZ ALLAN",15
STARFOX/EROS,INVISIBLE WOMAN/SUE ,15
THING/BENJAMIN J. GR,EBONY,15
FIRESTAR/ANGELICA JO,TIMESLIP/RINA PATEL,15
CYCLOPS/SCOTT SUMMER,TOAD/MORTIMER TOYNBE,15
ROGUE /,MOONDRAGON/HEATHER D,15
PIP/PRINCE GOFERN,SILVER SURFER/NORRIN,15
UNUS THE UNTOUCHABLE,MASTERMIND/JASON WYN,15
LUNA/LUNA MAXIMOFF [,TRITON,15
DRAX/ARTHUR DOUGLAS,GALACTUS/GALAN,15
TURBO II (A)/MICHIKO,TIMESLIP/RINA PATEL,15
"LEEDS, NED","WATSON, ANNA",15
INVISIBLE WOMAN/SUE ,"ROSS, GEN. THADDEUS ",15
CAPTAIN AMERICA,GRIM REAPER/ERIC WIL,15
CR'REEE,STORM/ORORO MUNROE S,15
"WATSON, ANNA","JAMESON, COL. JOHN ",15
CHARCOAL/CHARLIE BUR,NOMAD III/JACK MONRO,15
IRON MAN/TONY STARK ,HULK III/BRUCE BANNE,14
VIZIER,"KINCAID, DR. JANE FO",14
NAMORITA/NITA PRENTI,BLACK KNIGHT V/DANE ,14
GAFF/SIDNEY E. LEVIN,"FURY, COL. NICHOLAS ",14
WHITE QUEEN/EMMA FRO,EMPATH/MANUEL ALFONS,14
"TYGER, LORD",BOVA,14
CAPTAIN MARVEL II/MO,PROFESSOR X/CHARLES ,14
ZERO,STRYFE,14
BEAST/HENRY &HANK& P,WONG,14
ZERO,"SUMMERS, NATHAN CHRI",14
"ROBERTSON, JOE",HAMMERHEAD,14
FORGE,SUNSPOT/ROBERTO DACO,14
"DUGAN, TIMOTHY ALOYI",MR. FANTASTIC/REED R,14
ENCHANTRESS/AMORA/HE,STORM/ORORO MUNROE S,14
"THOMPSON, EUGENE FLA",BIG MAN/FREDERICK FO,14
STRIDER,BLACK KNIGHT V/DANE ,14
MEPHISTO,THING/BENJAMIN J. GR,14
BLACK BOLT/BLACKANTO,IRON MAN/TONY STARK ,14
"VOGHT, AMELIA",QUICKSILVER/PIETRO M,14
ROULETTE II/JENNY ST,TAROT/MARIE-ANGE COL,14
WONDER MAN/SIMON WIL,"RICHARDS, FRANKLIN B",14
"CARTER, PEGGY","JONES, GABE",14
"HOGAN, VIRGINIA PEPP",THOR/DR. DONALD BLAK,14
THING/BENJAMIN J. GR,"ROBERTSON, JOE",14
SYNCH/EVERETT THOMAS,GAIA,14
DRAGON MAN,INVISIBLE WOMAN/SUE ,14
MEPHISTO,THANOS,14
KARNILLA [ASGARDIAN],HILDEGARDE [ASGARDIA,14
TIMESLIP/RINA PATEL,GEE/ALEX POWER,14
CRIMSON DYNAMO V/DIM,VANGUARD/NICOLAI KRY,14
DARLA,BUTCH,14
SCARLET WITCH/WANDA ,STRONG GUY/GUIDO CAR,14
ANALYZER,KARNILLA [ASGARDIAN],14
"ROBERTSON, JOE",HUMAN TORCH/JOHNNY S,14
CYCLOPS/SCOTT SUMMER,WARLOCK II/ADAM WARL,14
LOCKHEED,"THOMAS, COMMANDER DA",14
UATU,ANT-MAN/DR. HENRY J.,14
BLACK WIDOW/NATASHA ,"HOGAN, VIRGINIA PEPP",14
M'SHULLA,HAWK,14
DOC SAMSON/DR. LEONA,MR. FANTASTIC/REED R,14
IRON MAN/TONY STARK ,RADIOACTIVE MAN/DR. ,14
DARKHAWK/CHRIS POWEL,NIGHT THRASHER/DUANE,14
DOLLAR BILL,HULK/DR. ROBERT BRUC,14
ZABU,ZIRA,14
"CARSON, LT. PAUL",DAREDEVIL/MATT MURDO,14
SPIDER-MAN/PETER PAR,"JONES, RICHARD MILHO",14
"ARMBRUSTER, COLONEL ",HULK/DR. ROBERT BRUC,14
"TILBY, TRISH/PATRICI",SKIDS/SALLY BLEVINS,14
TONGAH,KA-ZAR/KEVIN PLUNDER,14
DOLLAR BILL,NIGHTHAWK II/KYLE RI,14
STORM/ORORO MUNROE S,PYRO/ALLERDYCE JOHNN,14
FERAL/MARIA CALLASAN,RICTOR/JULIO ESTEBAN,14
BEAST/HENRY &HANK& P,USAGENT/CAPTAIN JOHN,14
SKIN/ANGELO ESPINOSA,GAIA,14
"HARKNESS, AGATHA",HULK/DR. ROBERT BRUC,14
"PAGE, KAREN",GLADIATOR/MELVIN POT,14
IKARIS/IKE HARRIS [E,"HOLDEN, DR. SAMUEL",14
BEAST/HENRY &HANK& P,UNUS THE UNTOUCHABLE,14
COLOSSUS II/PETER RA,JUGGERNAUT/CAIN MARK,14
"DIAMOND, BOB","KNIGHT, MISTY",14
MEPHISTO,HUMAN TORCH/JOHNNY S,14
STORM/ORORO MUNROE S,BLACK KNIGHT V/DANE ,14
SHE-HULK/JENNIFER WA,PUCK/EUGENE MILTON J,14
HERCULES [GREEK GOD],SHAMAN/MICHAEL TWOYO,14
"RIDER, ROBERT ROBBIE","RIDER, GLORIA",14
HOBGOBLIN V/JASON PH,SCHEMER/RICHARD FISK,14
IRON MAN/TONY STARK ,RECORDER II,14
GALACTUS/GALAN,THUNDERSTRIKE/ERIC K,14
COBRA/KLAUS VORHEES,ASP II/CLEO,14
"RAM, SIR",MAN-BEAST,14
SHE-HULK/JENNIFER WA,POLARIS/LORNA DANE,14
WOLVERINE/LOGAN ,ABSORBING MAN/CARL C,14
SCARLET WITCH/WANDA ,RECORDER II,14
CANDY,BAMBI,14
ZABU,TONGAH,14
"THOMPSON, EUGENE FLA","MUGGINS, MAMIE",14
"ROBERTSON, JOE",ROSE IV/JACOB JAKE C,14
VISION ,"CARTER, PEGGY",14
"DUGAN, TIMOTHY ALOYI",BARON STRUCKER/WOLFG,14
SPEEDBALL/ROBBIE BAL,BLACK KNIGHT V/DANE ,14
"RUSSELL, LISSA",TOPAZ,14
"FURY, COL. NICHOLAS ",MOCKINGBIRD/DR. BARB,14
SPEEDBALL/ROBBIE BAL,BEAST/HENRY &HANK& P,14
CYCLOPS/SCOTT SUMMER,DR. DRUID/ANTHONY LU,14
BUCKY/BUCKY BARNES,UNION JACK/LORD MONT,14
"TYGER, LORD",MAN-BEAST,14
SIF,"FAIRMONT, HANNAH",14
"ROBERTSON, JOE",JACKAL/MILES WARREN,14
CLEA,NIGHTMARE/EDVARD HAB,14
METEORITE,CRUCIBLE/BYRON CALLE,14
"JAMESON, J. JONAH",ANT-MAN/DR. HENRY J.,14
COLOSSUS II/PETER RA,"FORRESTER, CAPT. ALE",14
TAURUS/CORNELIUS VAN,IRON MAN/TONY STARK ,14
HELLCAT/PATSY WALKER,DOLLAR BILL,14
MAGGOTT/JAPHETH,CANNONBALL II/SAM GU,14
METEORITE,PARALYZER,14
FAMINE/AUTUMN ROLFSO,CYCLOPS/SCOTT SUMMER,14
STARFOX/EROS,HUMAN TORCH/JOHNNY S,14
MAGGOTT/JAPHETH,BEAST/HENRY &HANK& P,14
WARLOCK III,WHITE QUEEN/EMMA FRO,14
"OSBORN, NORMIE","THOMPSON, EUGENE FLA",14
SANDMAN/WILLIAM BAKE,VISION ,14
IRON MAN/TONY STARK ,MAGNETO/MAGNUS/ERIC ,14
FAMINE/AUTUMN ROLFSO,ICEMAN/ROBERT BOBBY ,14
GAIA,CHAMBER/JONOTHON STA,14
TAROT/MARIE-ANGE COL,WHITE QUEEN/EMMA FRO,14
SIF,HERMOD [ASGARDIAN],14
HERCULES [GREEK GOD],BALDER [ASGARDIAN],14
CAPTAIN MARVEL II/MO,DR. DOOM/VICTOR VON ,14
ANT-MAN II/SCOTT HAR,ANT-MAN/DR. HENRY J.,14
"SUMMERS, NATHAN CHRI",SHIP,14
SERSI/SYLVIA,BLACK PANTHER/T'CHAL,14
"TYGER, LORD",QUICKSILVER/PIETRO M,14
THANOS,SPIDER-MAN/PETER PAR,14
THOR II/ROGER RED NO,LOKI [ASGARDIAN],14
ENCHANTRESS/AMORA/HE,THUNDERSTRIKE/ERIC K,14
FER DE LANCE/TERESA,PUFF ADDER,14
FIRESTAR/ANGELICA JO,QUICKSILVER/PIETRO M,14
MAGGOTT/JAPHETH,ROGUE /,14
"JONES, CHARLOTTE",MARVEL GIRL/JEAN GRE,14
THING/BENJAMIN J. GR,BINARY/CAROL DANVERS,14
BLACK BOLT/BLACKANTO,SILVER SURFER/NORRIN,14
SIRYN/THERESA ROURKE,COLOSSUS II/PETER RA,14
"MARRS, DESMOND",NAMORITA/NITA PRENTI,14
"JONES, CHARLOTTE",BEAST/HENRY &HANK& P,14
"ROSEN, WALTER",JUSTICE II/VANCE AST,14
CAPTAIN MARVEL II/MO,BINARY/CAROL DANVERS,14
VOLSTAGG,KURSE/ALGRIM [ASGARD,14
"ROSEN, WALTER",NIGHT THRASHER/DUANE,14
IRON MAN/TONY STARK ,MACHINE MAN/X-51,14
FAMINE/AUTUMN ROLFSO,BEAST/HENRY &HANK& P,14
PSYCHO-MAN,MR. FANTASTIC/REED R,14
QUEEN DIVINE JUSTICE,"LYNNE, MONICA",14
STORM/ORORO MUNROE S,SHADOW KING/AMAHL FA,14
D.O.A.,SYNCH/EVERETT THOMAS,14
THANOS,ANGEL/WARREN KENNETH,14
"REESE, MURRAY","COLE, WADE",14
COLOSSUS II/PETER RA,"FURY, COL. NICHOLAS ",14
FAMINE/AUTUMN ROLFSO,CALIBAN/,14
WONDER MAN/SIMON WIL,SPEEDBALL/ROBBIE BAL,14
REJECT/RAN-SAK [DEVI,"DAMIAN, MARGO",14
SIDEWINDER/SETH VOEL,ANACONDA/BLANCHE SIT,14
WHIZZER II/STANLEY S,MOONDRAGON/HEATHER D,14
MR. SINISTER/NATHAN ,PSYLOCKE/ELISABETH B,14
SUB-MARINER/NAMOR MA,STARFOX/EROS,14
STORM/ORORO MUNROE S,UATU,14
"URSULA, LADY","RAM, SIR",14
SHADOWCAT/KATHERINE ,"HUNTER, STEVIE",14
GAIA,JUBILEE/JUBILATION L,14
THING/BENJAMIN J. GR,MOON KNIGHT/MARC SPE,14
SPEEDBALL/ROBBIE BAL,BOLT II/CHRIS BRADLE,14
HUMAN TORCH/JOHNNY S,MOCKINGBIRD/DR. BARB,14
MR. FANTASTIC/REED R,"POWER, MARGARET",14
ENCHANTRESS/AMORA/HE,ANT-MAN/DR. HENRY J.,14
"DUGAN, TIMOTHY ALOYI",HULK/DR. ROBERT BRUC,14
"HOGAN, VIRGINIA PEPP",MANDARIN,14
DEADPOOL/JACK/WADE W,MONTGOMERY,14
"MOY, ALYSSA","RICHARDS, FRANKLIN B",14
SUB-MARINER/NAMOR MA,IRON FIST/DANIEL RAN,14
TAROT/MARIE-ANGE COL,CATSEYE/SHARON SMITH,14
WONDER MAN/SIMON WIL,THANOS,14
BLACK WIDOW/NATASHA ,DAGGER/TANDY BOWEN,14
MEPHISTO,VOLSTAGG,14
ANT-MAN II/SCOTT HAR,MR. FANTASTIC/REED R,14
"SUMMERS, NATHAN CHRI",SABRETOOTH/VICTOR CR,14
"JAMESON, J. JONAH","JARVIS, EDWIN ",14
ICEMAN/ROBERT BOBBY ,JOSEPH,14
DAREDEVIL/MATT MURDO,NOVA/RICHARD RIDER,14
HUMAN TORCH ANDROID/,HAWK,14
MAGDALENE/MARISSA DA,SWORDSMAN III/PHILIP,14
"FURY, COL. NICHOLAS ",MAD DOG/COLONEL BUZZ,14
WHIZZER II/STANLEY S,SCARLET WITCH/WANDA ,14
"STANKOWICZ, FABIAN",BLACK WIDOW/NATASHA ,14
"OSBORN, NORMIE","PARKER, MAY",14
"MERCADO, JOY","URICH, BEN",14
"MASTERS, ALICIA REIS","WINGFOOT, WYATT",14
SHE-HULK/JENNIFER WA,MOLECULE MAN/OWEN RE,14
ENCHANTRESS/AMORA/HE,THING/BENJAMIN J. GR,14
DAREDEVIL/MATT MURDO,SHANG-CHI,14
DEMOLITION MAN/DENNI,USAGENT/CAPTAIN JOHN,14
"URSULA, LADY","GATOR, LORD",14
ANACONDA/BLANCHE SIT,ROCK PYTHON,14
SPIDER-MAN/PETER PAR,SPIDER-WOMAN/JESSICA,14
GRIM REAPER/ERIC WIL,WASP/JANET VAN DYNE ,14
TOM THUMB/THOMAS THO,ARCANNA/ARCANNA JONE,14
STRONG GUY/GUIDO CAR,THUNDERSTRIKE/ERIC K,14
ULYSSES II,"JONES, MARLO CHANDLE",14
WONDER MAN/SIMON WIL,"SIMON, ALEX FLORES",14
LYJA LAZERFIST [SKRU,CRYSTAL [INHUMAN],14
"TSURAYABA, MATSUO",WOLVERINE/LOGAN ,14
"MERCADO, JOY","KATZENBERG, NICK",14
MR. FANTASTIC/REED R,ABSORBING MAN/CARL C,14
PROFESSOR X/CHARLES ,"SUMMERS, MADELYNE MA",14
THRENODY,X-MAN/NATHAN GREY ,14
"MACTAGGERT, MOIRA KI",STRONG GUY/GUIDO CAR,14
SUB-MARINER/NAMOR MA,"FURY, COL. NICHOLAS ",14
YELLOWJACKET III/HEN,IRON MAN/TONY STARK ,14
"KATZENBERG, NICK","PARKER, MAY",14
HULK/DR. ROBERT BRUC,WRECKER III/DIRK GAR,14
MARROW/SARAH ,PSYLOCKE/ELISABETH B,14
"CORBEAU, DR. PETER",PROFESSOR X/CHARLES ,14
BLACK WIDOW/NATASHA ,ROGUE /,14
MARVEL GIRL/JEAN GRE,MOONDRAGON/HEATHER D,14
MEGGAN,CERISE II [SHI'AR],14
HOGUN [ASGARDIAN],SURTUR,14
ANGEL/WARREN KENNETH,MARROW/SARAH ,14
WHITE QUEEN/EMMA FRO,THUNDERBIRD II/JAMES,14
DR. STRANGE/STEPHEN ,"RICHARDS, FRANKLIN B",14
"JARVIS, EDWIN ",SWORDSMAN III/PHILIP,14
"PARKER, MAY","BANNON, LANCE",14
SHOCKER/HERMAN SCHUL,"WATSON-PARKER, MARY ",14
SCHEMER/RICHARD FISK,"LEEDS, NED",14
ANGEL/WARREN KENNETH,"KELLY, SEN. ROBERT E",14
MEDUSA/MEDUSALITH AM,UATU,14
SUPREME INTELLIGENCE,IRON MAN/TONY STARK ,14
"FITZROY, TREVOR",BISHOP /,14
HAMMERHEAD,TOMBSTONE/LONNIE THO,14
VISION ,FIREBIRD/BONITA JUAR,14
PROFESSOR X/CHARLES ,THANOS,14
DR. DOOM/VICTOR VON ,MOLECULE MAN/OWEN RE,14
SIGYN,ODIN [ASGARDIAN],14
KILLRAVEN/JONATHAN R,HAWK,14
"CARTER, SHARON","DE LA FONTAINE, CONT",14
"PARKER, MAY","MUGGINS, MAMIE",14
BAMBI,RANDI,14
"HOGAN, HAROLD J. HAP",WASP/JANET VAN DYNE ,14
"KINCAID, DR. JANE FO",HIGH EVOLUTIONARY/HE,14
MEGGAN,PSYLOCKE/ELISABETH B,14
CAPTAIN MARVEL/CAPTA,"JARVIS, EDWIN ",14
SIGYN,LOKI [ASGARDIAN],14
"SHERIDAN, RICHARD RI",RAMBO,14
SPIDER-MAN/PETER PAR,"RAVEN, LT. JACOB",14
"HOGAN, VIRGINIA PEPP",ANT-MAN/DR. HENRY J.,14
BLACK WIDOW/NATASHA ,PROFESSOR X/CHARLES ,14
THING/BENJAMIN J. GR,THUNDERBALL/DR. ELIO,14
HERCULES [GREEK GOD],HIGH EVOLUTIONARY/HE,14
CYCLOPS/SCOTT SUMMER,SPIDER-WOMAN II/JULI,14
"HOGAN, HAROLD J. HAP",THOR/DR. DONALD BLAK,14
PROFESSOR X/CHARLES ,KARMA/XI'AN COY MANH,14
HUMAN TORCH/JOHNNY S,VIBRAXAS/N'KANO,14
USAGENT/CAPTAIN JOHN,HUMAN TORCH/JOHNNY S,14
"PARKER, MAY",LIZARD/DR. CURTIS CO,14
SUNFIRE/SHIRO YOSHID,CYCLOPS/SCOTT SUMMER,14
USAGENT/CAPTAIN JOHN,"HARKNESS, AGATHA",14
DEATHBIRD [SHI'AR],LILANDRA NERAMANI [S,14
BLACK WIDOW/NATASHA ,PUNISHER II/FRANK CA,14
MEGGAN,KYLUN/COLIN MCKAY,14
"ROSS, EVERETT KENNET",MALICE V/NAKIA,14
THANOS,MAGUS,14
"PARETSKY, DR. GARY","STEELE, BOBBY",14
CRIMSON DYNAMO V/DIM,DARKSTAR/LAYNIA SERG,14
MADAME MASQUE III,BLACK WIDOW/NATASHA ,14
THANOS,"JONES, RICHARD MILHO",14
MARVEL WOMAN | MUTAN,BLOODSTORM | MUTANT ,14
TIGER SHARK/TODD ARL,MOONSTONE II/KARLA S,14
LORD CHAOS,MASTER ORDER,14
PARALYZER,CRUCIBLE/BYRON CALLE,14
"CAGE, LUKE/CARL LUCA",SCARLET WITCH/WANDA ,14
SUB-MARINER/NAMOR MA,FALCON/SAM WILSON,14
ENCHANTRESS/AMORA/HE,HUMAN TORCH/JOHNNY S,14
"WATSON, ANNA",SPIDER-MAN CLONE/BEN,14
MADAME MASQUE III,VISION ,14
MARVEL GIRL/JEAN GRE,WAR/ABRAHAM LINCOLN ,14
BLACK WIDOW/NATASHA ,UATU,14
PROFESSOR X/CHARLES ,NOVA/RICHARD RIDER,14
USAGENT/CAPTAIN JOHN,RECORDER II,14
DIABLO/ESTEBAN DE AB,HUMAN TORCH/JOHNNY S,14
CALLISTO,BANSHEE/SEAN CASSIDY,14
"THOMPSON, EUGENE FLA","CUSHING, KATE",14
PROFESSOR X/CHARLES ,QUASAR III/WENDELL V,14
KRISTA,HILDEGARDE [ASGARDIA,14
ANGEL/WARREN KENNETH,"COOPER, DR. VALERIE",14
COLOSSUS II/PETER RA,"RICHARDS, FRANKLIN B",14
MARVEL WOMAN | MUTAN,HAVOK/ALEX SUMMERS ,14
MARVEL WOMAN | MUTAN,ICE-MAN | MUTANT X-V,14
MARVEL GIRL/JEAN GRE,SENTINELS,14
DEATHBIRD [SHI'AR],GAMBIT/REMY LEBEAU ,14
TIGER SHARK/TODD ARL,"NEWELL, DIANE ARLISS",14
"RICHARDS, FRANKLIN B",ANT-MAN/DR. HENRY J.,14
DAREDEVIL/MATT MURDO,MISTER HYDE/CALVIN Z,14
SCARLET WITCH/WANDA ,�GAMORA,14
YELLOWJACKET III/HEN,TRIATHLON/DELROY GAR,14
BALDER [ASGARDIAN],"FAIRMONT, HANNAH",14
FANDRAL [ASGARDIAN],ULIK,14
SHA SHAN,"LEEDS, BETTY BRANT",14
QUASAR III/WENDELL V,SPIDER-WOMAN II/JULI,14
DEATH,CAPTAIN AMERICA,14
U-MAN/MERRANO,CAPTAIN AMERICA,14
"JARVIS, EDWIN ",MOONSTONE II/KARLA S,14
KYLUN/COLIN MCKAY,NIGHTCRAWLER/KURT WA,14
CYCLOPS/SCOTT SUMMER,SENTINELS,14
SPIDER-MAN/PETER PAR,NIGHT THRASHER/DUANE,14
THING/BENJAMIN J. GR,POLARIS/LORNA DANE,14
"CORSI, TOM","FRIEDLANDER, SHARON",14
BLOB/FRED J. DUKES,POLARIS/LORNA DANE,14
DARKHAWK/CHRIS POWEL,SHE-HULK/JENNIFER WA,14
PROFESSOR X/CHARLES ,X-MAN/NATHAN GREY ,14
JACKAL/MILES WARREN,"LEEDS, BETTY BRANT",14
QUASAR III/WENDELL V,ANGEL/WARREN KENNETH,14
DEADPOOL/JACK/WADE W,THUNDERBIRD II/JAMES,14
CATSEYE/SHARON SMITH,ROULETTE II/JENNY ST,14
LUNA/LUNA MAXIMOFF [,BLACK WIDOW/NATASHA ,14
ODIN [ASGARDIAN],HERMOD [ASGARDIAN],14
"HOGAN, VIRGINIA PEPP","FUJIKAWA, RUMIKO",14
PATHWAY/LAURA DEAN,SHAMAN/MICHAEL TWOYO,14
MARVEL GIRL/JEAN GRE,BLACK WIDOW/NATASHA ,14
WILDSIDE,FOREARM,14
BLOODSTORM | MUTANT ,CAPTAIN AMERICA | MU,14
BLIND AL/ALTHEA,DEADPOOL/JACK/WADE W,14
SHADOWCAT/KATHERINE ,CH'OD,14
GAIA,WHITE QUEEN/EMMA FRO,14
JINX,BISHOP /,14
HELLCAT/PATSY WALKER,SILVER SURFER/NORRIN,14
ODIN [ASGARDIAN],MANGOG,14
JINX,SCORCH II,14
BLITZIANA,HIGH EVOLUTIONARY/HE,14
ETERNITY/ADAM QADMON,UATU,14
DARKHAWK/CHRIS POWEL,VISION ,14
"LUMPKIN, WILLIAM WIL",HUMAN TORCH/JOHNNY S,14
DR. DOOM/VICTOR VON ,KINGPIN/WILSON FISK,14
WASP/JANET VAN DYNE ,"NORRISS, SISTER BARB",14
THOR/DR. DONALD BLAK,"NORRISS, SISTER BARB",14
"BANNER, BETTY ROSS T",CAPTAIN AMERICA,14
"TRAVELLER, DR. JUDAS",SPIDER-MAN/PETER PAR,14
VIZIER,SETH II,14
SPIDER-MAN/PETER PAR,SCRIER II/,14
"ROBERTSON, AMANDA","WATSON-PARKER, MARY ",14
COTTONMOUTH II,CAPTAIN AMERICA,14
COPYCAT/VANESSA,GIDEON,14
"OSBORN, LIZ ALLAN",BLACK CAT/FELICIA HA,14
SPIDERCIDE,"WATSON-PARKER, MARY ",14
THOR/DR. DONALD BLAK,MOLECULE MAN/OWEN RE,14
CAPTAIN MARVEL II/MO,SPIDER-WOMAN II/JULI,14
"CHENEY, LILA",CANNONBALL II/SAM GU,14
SUPER SABRE/MARTIN F,CRIMSON COMMANDO/FRA,14
HELLCAT/PATSY WALKER,RED GUARDIAN III/DR.,14
IKARIS/IKE HARRIS [E,THOR/DR. DONALD BLAK,14
SCORCH II,BISHOP /,14
SHE-HULK/JENNIFER WA,SHAMAN/MICHAEL TWOYO,14
CALIBAN/,FIREFIST/RUSTY COLLI,14
HERCULES [GREEK GOD],POLARIS/LORNA DANE,14
CORSAIR,HAVOK/ALEX SUMMERS ,14
DEATHBIRD [SHI'AR],ROGUE /,14
LOKI [ASGARDIAN],HERMOD [ASGARDIAN],14
LOKI [ASGARDIAN],HAWK,14
LOKI [ASGARDIAN],DR. DOOM/VICTOR VON ,14
"HOGAN, VIRGINIA PEPP",CAPTAIN AMERICA,14
VOLCANA/MARSHA ROSEN,CAPTAIN AMERICA,14
WASP/JANET VAN DYNE ,BEETLE/ABNER RONALD ,14
USAGENT/CAPTAIN JOHN,WOLVERINE/LOGAN ,14
COLOSSUS II/PETER RA,MOLECULE MAN/OWEN RE,14
STARFOX/EROS,CAPTAIN MARVEL/CAPTA,14
MARVEL GIRL/JEAN GRE,"HUDSON, HEATHER",14
HULK/DR. ROBERT BRUC,TIGRA/GREER NELSON,14
MADAME WEB/CASSANDRA,SPIDER-MAN III/MARTH,14
BRUTE | MUTANT X-VER,CAPTAIN AMERICA | MU,14
"RICHARDS, FRANKLIN B",UATU,14
WASP/JANET VAN DYNE ,"CAGE, LUKE/CARL LUCA",14
"MCKEEVER, TINY","LEEDS, BETTY BRANT",14
THUNDERSTRIKE/ERIC K,DR. DOOM/VICTOR VON ,14
PROFESSOR X/CHARLES ,GLADIATOR II,14
DEATHBIRD [SHI'AR],PROFESSOR X/CHARLES ,14
BEETLE/ABNER RONALD ,NOMAD III/JACK MONRO,14
ODIN [ASGARDIAN],ZEUS,14
SHE-HULK/JENNIFER WA,THENA,14
"JAMESON, J. JONAH",WOLVERINE/LOGAN ,14
CYCLOPS/SCOTT SUMMER,MAGUS,14
"PAGE, KAREN","URICH, BEN",14
SERSI/SYLVIA,FALCON/SAM WILSON,14
PROFESSOR X/CHARLES ,CRYSTAL [INHUMAN],14
"TYGER, LORD","VERMIN, LADY",14
"HOLDEN, DR. SAMUEL","DAMIAN, MARGO",14
LOKI [ASGARDIAN],ANT-MAN/DR. HENRY J.,14
RAGE/ELVIN DARYL HAL,BLACK KNIGHT V/DANE ,14
LOKI [ASGARDIAN],ABSORBING MAN/CARL C,14
ANGEL/WARREN KENNETH,SILVER SURFER/NORRIN,14
BLOODAXE/JACKIE LUKU,"STEELE, BOBBY",14
HELLCAT/PATSY WALKER,THING/BENJAMIN J. GR,14
"MADDICKS, ARTHUR ART",APOCALYPSE/EN SABAH ,14
"MCDOWELL, SCOTTY",SPIDER-WOMAN/JESSICA,14
CAT III/SHEN KUEI,"WU, LEIKO",14
BINARY/CAROL DANVERS,BLACK PANTHER/T'CHAL,14
JIGSAW,PUNISHER II/FRANK CA,14
"WATSON-PARKER, MARY ",THING/BENJAMIN J. GR,14
